광역시도,기초지자체,아프리카 국가,아프리카 지자체,교류연도,교류유형,주요내용
울산광역시,본청,튀니지,,2009,관광교류,울산시  주한외교사절 및 전국 시·도 관광협회장 초청 팸투어 진행
세종특별자치시,본청,탄자니아,,2022,기술 학술 정보교류,탄자니아 대통령실 장관단  한국 인사행정 배우러 방문하다
세종특별자치시,본청,코트디부아르,,2017,행정 인적교류,아프리카 지방공무원 연수단  세종시 방문
세종특별자치시,본청,우간다,,2015,행정 인적교류,아프리카 우간다 지방고위공무원단  세종시 방문
세종특별자치시,본청,탄자니아,,2014,행정 인적교류,탄자니아 공무원  세종시 배우러 왔어요
경기도,평택시,가나,,2022,행정 인적교류,평택시  아프리카 가나 농업연수단 평택시농업기술센터 방문
경기도,파주시,앙골라,,2022,행정 인적교류,아프리카 앙골라 공무원  파주시새마을회 방문
경기도,남양주시,남아프리카공화국,요하네스버그시,2021,경제통상교류,2021 남양주_파주_포천 아프리카 시장개척단 화상상담
경기도,남양주시,탄자니아,다르에스살람시,2021,경제통상교류,2021 남양주_파주_포천 아프리카 시장개척단 화상상담
경기도,파주시,탄자니아,다르에스살람,2021,경제통상교류,2021 남양주_파주_포천 아프리카 시장개척단 화상상담
경기도,파주시,남아프리카공화국,요하네스버그,2021,경제통상교류,2021 남양주_파주_포천 아프리카 시장개척단 화상상담
경기도,포천시,남아프리카공화국,요하네스버그,2021,경제통상교류,2021 남양주_파주_포천 아프리카 시장개척단 화상상담
경기도,포천시,탄자니아,다르에스살람,2021,경제통상교류,2021 남양주_파주_포천 아프리카 시장개척단 화상상담
경기도,수원시,남아프리카공화국,,2020,기술 학술 정보교류,수원시  제 7회 세계화장실리더스포럼
경기도,평택시,남아프리카공화국,,2020,상징사업,평택시  제70주년 남아프리카공화국 6.25참전 추모기념식
경기도,평택시,남아프리카공화국,,2020,상징사업,평택시  주한 남아공 대사 명예시민 위촉
경기도,평택시,남아프리카공화국,,2020,상징사업,평택시장  주한 남아프리카공화국 대사에 명예시민패 수여
경기도,화성시,에티오피아,,2019,경제통상교류,화성시  에티오피아와 케냐에 시장개척단 파견
경기도,화성시,케냐,,2019,경제통상교류,화성시  에티오피아와 케냐에 시장개척단 파견
경기도,평택시,남아프리카공화국,,2019,상징사업,평택시  제69주년 남아공 6 25참전 기념행사 개최
경기도,화성시,케냐,,2019,경제통상교류,2019 화성시_아프리카 비즈니스협력 세미나 개최
